JENumber,FechaEfectiva,Mes,CuentaContable,Monto,Usuario,FechaEntrada
0100046768,20200103,01,0042100100,1116,MRESENDEZ,20200103
0100046768,20200103,01,0042100100,-1116,MRESENDEZ,20200103
0100046782,20200101,01,0010401086,-24127.22,JROMAN,20200103
0100046782,20200101,01,0046940100,24127.22,JROMAN,20200103
0100046795,20200103,01,0010401080,-3125.25,CMUNAYCO,20200104
0100046795,20200103,01,0010401086,3125.25,CMUNAYCO,20200104
0100046795,20200103,01,0067600800,0,CMUNAYCO,20200104
0100046796,20200103,01,0010401080,-372,CMUNAYCO,20200104
0100046796,20200103,01,0010401086,372,CMUNAYCO,20200104
0100046796,20200103,01,0067600800,0,CMUNAYCO,20200104
0100046811,20200103,01,0010401086,27235.62,JROMAN,20200104
0100046811,20200103,01,0010401076,-27235.62,JROMAN,20200104
0100046813,20200104,01,0010401080,-1500,CMUNAYCO,20200105
0100046813,20200104,01,0010401086,1500,CMUNAYCO,20200105
0100046813,20200104,01,0067600800,0,CMUNAYCO,20200105
0100046814,20200103,01,0010401080,27235.62,JROMAN,20200105
0100046814,20200103,01,0010401086,-27235.62,JROMAN,20200105
0100046815,20200103,01,0010401070,-27235.62,JROMAN,20200105
0100046815,20200103,01,0010401076,27235.62,JROMAN,20200105
0100046816,20200103,01,0010401080,-7549.37,JROMAN,20200105
0100046816,20200103,01,0010401081,7549.37,JROMAN,20200105
0100046816,20200103,01,0067600800,0,JROMAN,20200105
0100046817,20200104,01,0010401086,83122.67,JROMAN,20200105
0100046817,20200104,01,0010401076,-83122.67,JROMAN,20200105
0100046818,20200104,01,0010401086,6617.45,JROMAN,20200105
0100046818,20200104,01,0010401076,-6617.45,JROMAN,20200105
0100046819,20200104,01,0010401080,6617.45,JROMAN,20200105
0100046819,20200104,01,0010401086,-6617.45,JROMAN,20200105
0100046820,20200104,01,0010401070,-6617.45,JROMAN,20200105
0100046820,20200104,01,0010401076,6617.45,JROMAN,20200105
0100046821,20200103,01,0010401080,-16189,JROMAN,20200105
0100046821,20200103,01,0010401086,16189,JROMAN,20200105
0100046821,20200103,01,0067600800,0,JROMAN,20200105
0100046822,20200104,01,0010401086,-83122.67,JROMAN,20200105
0100046822,20200104,01,0010401076,83122.67,JROMAN,20200105
0100047172,20200105,01,0010401080,-57.2,CMUNAYCO,20200106
0100047172,20200105,01,0010401086,57.2,CMUNAYCO,20200106
0100047172,20200105,01,0067600800,0,CMUNAYCO,20200106
0100047184,20200101,01,0046940001,-73465.77,CLLOSA,20200106
0100047184,20200101,01,0046940002,73465.77,CLLOSA,20200106
0100047185,20200101,01,0046940001,-12142.04,CLLOSA,20200106
0100047185,20200101,01,0046940002,12142.04,CLLOSA,20200106
0100047186,20200101,01,0046940001,3703.15,CLLOSA,20200106
0100047186,20200101,01,0028000100,-3703.15,CLLOSA,20200106
0100047187,20200106,01,0010401080,-2724.65,CMUNAYCO,20200109
0100047187,20200106,01,0010401086,2724.65,CMUNAYCO,20200109
0100047187,20200106,01,0067600800,0,CMUNAYCO,20200109
0100047188,20200106,01,0010401080,-3009.22,CMUNAYCO,20200109
0100047188,20200106,01,0010401086,3009.22,CMUNAYCO,20200109
0100047188,20200106,01,0067600800,0,CMUNAYCO,20200109
0100047189,20200106,01,0010401080,-35778,CMUNAYCO,20200109
0100047189,20200106,01,0010401086,35778,CMUNAYCO,20200109
0100047189,20200106,01,0067600800,0,CMUNAYCO,20200109
0100047190,20200105,01,0010401086,90458.74,JROMAN,20200109
0100047190,20200105,01,0010401076,-90458.74,JROMAN,20200109
0100047191,20200105,01,0010401072,244.58,JROMAN,20200109
0100047191,20200105,01,0012101300,-244.58,JROMAN,20200109
0100047192,20200105,01,0010401086,45933.51,JROMAN,20200109
0100047192,20200105,01,0010401076,-45933.51,JROMAN,20200109
0100047193,20200106,01,0010401086,43583.15,JROMAN,20200109
0100047193,20200106,01,0010401076,-43583.15,JROMAN,20200109
0100047195,20200101,01,0061700011,-84.34,DCRODRIGUEZ,20200109
0100047195,20200101,01,0069208100,84.34,DCRODRIGUEZ,20200109
0100047196,20200105,01,0010401080,45933.51,JROMAN,20200109
0100047196,20200105,01,0010401086,-45933.51,JROMAN,20200109
0100047197,20200105,01,0010401070,-45933.51,JROMAN,20200109
0100047197,20200105,01,0010401076,45933.51,JROMAN,20200109
0100047198,20200106,01,0010401080,43583.15,JROMAN,20200109
0100047198,20200106,01,0010401086,-43583.15,JROMAN,20200109
0100047199,20200106,01,0010401070,-43583.15,JROMAN,20200109
0100047199,20200106,01,0010401076,43583.15,JROMAN,20200109
0100047200,20200105,01,0010401070,244.58,JROMAN,20200109
0100047200,20200105,01,0010401072,-244.58,JROMAN,20200109
0100047201,20200105,01,0010401080,-200,JROMAN,20200109
0100047201,20200105,01,0010401081,200,JROMAN,20200109
0100047201,20200105,01,0067600800,0,JROMAN,20200109
0100047202,20200106,01,0010401080,-300,JROMAN,20200109
0100047202,20200106,01,0010401081,300,JROMAN,20200109
0100047202,20200106,01,0067600800,0,JROMAN,20200109
0100047203,20200105,01,0010401080,-45676.31,JROMAN,20200109
0100047203,20200105,01,0010401086,45676.31,JROMAN,20200109
0100047203,20200105,01,0067600800,0,JROMAN,20200109
