Codigo de Cliente,Tipo de Transaccion,Codigo de Transaccion,Monto,Fecha de Documento,Libro Mayor,Fecha de Pago
0000505423,RV,0122879883,3475.49,2014-05-08,0012101300,2014-08-06
0000505423,RV,0123542429,3532.46,2014-07-09,0012101300,2014-09-07
0000505423,RV,0124159324,1988.18,2014-09-01,0012101300,2014-10-31
0000500330,RV,0129571455,7358.87,2016-06-23,0012100400,2016-08-22
0000504755,RV,0134921594,5572.89,2020-11-30,0012100400,
0000500248,RV,0135003922,240.52,2020-12-05,0012101300,
0000500248,RV,0135003932,106.96,2020-12-05,0012101300,
0000500248,RV,0135003942,409.37,2020-12-05,0012101300,
0000500248,RV,0135003952,11.31,2020-12-05,0012101300,
0000502397,RV,0135003962,83.85,2020-12-05,0012101300,
0000504755,RV,0135003972,1071251.42,2020-12-05,0012100400,
0000506593,RV,0135003982,3.65,2020-12-05,0012101300,
0000507149,RV,0135003992,17.30,2020-12-05,0012101300,
0000500248,RV,0136189271,1.78,2020-11-14,0012101300,
0000511113,RV,0137503003,10055.66,2020-11-10,0012101300,2020-12-25
0000500248,RV,0137503015,18.51,2020-12-01,0012101300,
0000500248,RV,0137503025,150.87,2020-12-01,0012101300,
0000505063,RV,0137503045,10.52,2020-12-01,0012101300,
0000505063,RV,0137503055,15.86,2020-12-01,0012101300,
0000511532,RV,0137503067,14.37,2020-12-01,0012101300,
0000512767,RV,0137503078,83.72,2020-12-01,0012101300,
0000512767,RV,0137503088,59.33,2020-11-30,0012101300,
0000512767,RV,0137503098,7.56,2020-11-30,0012101300,
0000500359,RV,0137805669,0.10,2020-12-11,0012101300,
0000500248,RV,0137805683,231.75,2020-12-11,0012101300,
0000502823,RV,0137805693,0.55,2020-12-11,0012101300,
0000505214,ZT,0139340428,18699.97,2018-05-11,0012101300,2018-07-10
0000500248,RV,0139976267,2.57,2020-11-23,0012101300,
0000500248,RV,0139976277,22.07,2020-11-23,0012101300,
0000502401,RV,0139976287,2.11,2020-11-22,0012101300,
0000505063,RV,0140310077,31996.02,2020-10-29,0012101300,2020-12-13
0000510878,RV,0140310092,0.04,2020-10-28,0012101300,
0000511128,RV,0140357792,1.42,2020-12-31,0012101300,
0000511113,SA,0140950966,-17.43,2020-10-31,0012101300,
0000502405,SA,0141815693,103.62,2020-12-31,0012101300,
0000507149,RV,0142579787,541.07,2019-01-07,0012101300,2019-02-21
0000501636,RV,0142770249,6979.44,2020-11-19,0012100400,
0000507149,SA,0142964839,74838.43,2019-04-30,0012101300,2019-07-29
0000511113,RV,0143404897,859.91,2020-04-27,0012101300,2020-07-26
0000502414,RV,0143460273,3562.22,2020-08-26,0012101300,2020-10-10
0000511113,RV,0143642353,9340.56,2019-03-11,0012101300,2019-05-10
0000517488,SA,0144021376,413.62,2020-12-31,0012101300,
0000507418,SA,0144345086,-54169.87,2019-06-30,0012101300,2019-09-28
0000507149,SA,0144558620,91402.23,2019-02-28,0012101300,2019-05-29
0000517220,SA,0144667576,5.76,2020-12-31,0012101300,
0000506593,RV,0144832399,2441.32,2019-04-08,0012101300,2019-05-23
0000507418,RV,0144909956,18882.10,2020-04-12,0012101300,2020-06-11
0000507998,ZT,0145010983,46696.19,2020-11-11,0012100400,
0000515956,RV,0145181645,1127.29,2020-09-28,0012101300,2020-11-12
0000509282,RV,0145181656,33.41,2020-12-30,0012101300,
0000509282,RV,0145181666,1.48,2020-12-31,0012101300,
0000511718,RV,0145181676,9.88,2020-12-31,0012101300,
0000511113,RV,0145183572,9195.77,2020-10-30,0012101300,2020-12-29
0000507964,ZT,0145305464,292438.90,2019-12-31,0012101300,2020-02-29
0000509282,RV,0145332816,319.58,2019-07-07,0012101300,2019-08-21
0000515711,RV,0145391462,96.75,2020-11-20,0012101300,
0000500307,ZT,0145418665,25861.91,2020-12-30,0012100400,
0000505619,RV,0145549582,408.36,2020-11-04,0012101300,2020-12-19
0000509282,RV,0145552497,1815.55,2019-07-28,0012101300,2019-09-11
0000512551,RV,0145594596,16.36,2020-12-07,0012101300,
0000500642,RV,0145652040,71388.96,2020-02-26,0012101300,2020-04-11
0000500248,RV,0145707194,27.71,2020-11-21,0012101300,
0000509282,RV,0145723125,1613.82,2019-09-08,0012101300,2019-12-07
0000500330,ZT,0145913508,14902.27,2019-06-20,0012100400,2019-09-18
0000505423,RV,0145915474,2.80,2020-11-11,0012101300,
0000509282,RV,0145991798,1916.41,2019-08-23,0012101300,2019-10-07
0000509282,RV,0146005515,806.91,2019-06-18,0012101300,2019-08-17
0000500248,RV,0146093147,18868.94,2019-08-28,0012101300,2019-11-26
0000509282,RV,0146229555,1065.25,2019-07-07,0012101300,2019-08-21
0000502414,RV,0146245121,93.56,2020-06-29,0012101300,2020-09-27
0000509282,RV,0146259187,2836.06,2019-07-07,0012101300,2019-08-21
0000505619,RV,0146324437,42717.92,2020-11-15,0012101300,2020-12-30
0000509282,RV,0146385698,1210.37,2019-08-19,0012101300,2019-10-03
0000507149,RV,0146451986,377.74,2019-09-25,0012101300,2019-11-09
0000500248,RV,0146455296,61.20,2020-12-25,0012101300,
0000505063,RV,0146464854,53.29,2020-11-02,0012101300,
0000510878,RV,0146464864,0.01,2020-11-01,0012101300,
0000510878,RV,0146464874,136.27,2020-11-01,0012101300,2020-12-31
0000510878,RV,0146464884,0.09,2020-11-01,0012101300,
0000510878,RV,0146464894,0.01,2020-11-01,0012101300,
0000507149,RV,0146540475,2380.68,2019-10-15,0012101300,2020-01-13
0000502414,RV,0146574735,586.12,2020-04-14,0012101300,2020-07-13
0000509282,SA,0146607569,505509.99,2019-09-30,0012101300,2019-11-29
0000505063,RV,0146741185,12.36,2020-12-02,0012101300,
0000511113,RV,0146756657,75.90,2019-10-10,0012101300,2019-11-24
0000509282,RV,0146794703,1278.30,2019-08-08,0012101300,2019-11-06
0000509282,RV,0146853607,1149.89,2019-08-16,0012101300,2019-09-30
0000500248,RV,0146858282,18.75,2020-12-14,0012101300,
0000500248,RV,0146858292,11.20,2020-12-14,0012101300,
0000509282,RV,0146862202,1649.91,2019-08-19,0012101300,2019-11-17
0000502414,SA,0146958597,-970720.03,2020-09-30,0012101300,2020-11-29
0000505063,RV,0147029183,94.20,2020-12-22,0012101300,
